NodeA,NodeB,RepairTime
1,3,597.9905807759822
3,1,155.17573964882075
1,8,576.1438643844544
8,1,637.6222441107213
1,52,174.76442078766857
52,1,661.4954619585317
2,54,591.5376339564768
54,2,364.0077992766203
2,55,344.68358679511215
55,2,509.41573697481283
3,52,360.5547996514199
52,3,463.2665535766545
5,44,484.6758372153051
44,5,150.43433739530442
5,50,562.2528056025428
50,5,545.0918302543369
6,16,673.3034719218495
16,6,548.9634199553427
9,59,513.4634981132889
59,9,562.2642988137152
10,13,232.52533305790467
13,10,421.18670195450727
10,60,657.017912916247
60,10,675.8149880855376
11,51,131.39494283733856
51,11,646.6388793334178
12,20,501.7754830551393
20,12,363.9807937456739
12,60,197.7471502109952
60,12,637.6127175176524
13,14,272.2778768892216
14,13,475.7153995921933
13,19,165.16927842664603
19,13,453.89124777336605
14,15,355.208237570234
15,14,303.96719700956214
14,51,219.68636959687223
51,14,141.28923900018862
16,25,644.0448657936013
25,16,484.67603986542525
17,18,123.39739963309069
18,17,467.625083461254
18,19,579.8992392600319
19,18,240.35017688898893
21,22,677.5935547417852
22,21,625.3581705889197
21,64,443.2224961086367
64,21,713.0034214911087
22,23,250.81621784348954
23,22,143.0960416454837
22,63,342.1926812849357
63,22,229.33622642847507
24,25,687.7416041124147
25,24,189.05522207050552
24,33,331.7548787349884
33,24,637.917073744619
26,33,144.73733252687381
33,26,173.52578416750274
26,70,431.33353825320904
70,26,335.6250915054508
27,50,132.82710013647682
50,27,522.3377884324659
27,66,624.9011280478373
66,27,152.97928262067643
28,32,197.08447939481084
32,28,192.80191952087756
29,30,404.97705415338936
30,29,510.0864146104926
29,31,278.80338665209297
31,29,617.0372646816293
29,34,177.7950277430585
34,29,660.0895537278896
29,62,254.5230226785391
62,29,189.60692473594185
31,33,240.83358242265007
33,31,454.3022682659663
31,67,657.25852834452
67,31,184.70151574049805
32,38,486.6118129855936
38,32,437.14478424430115
33,71,405.07435632438006
71,33,590.7997775067672
34,35,271.182710241222
35,34,660.6937560667095
34,39,318.0926580259469
39,34,354.4252570053761
35,48,421.45794540534973
48,35,444.8405337311917
35,62,543.7039545971381
62,35,610.0536377682924
37,38,665.1803474521565
38,37,195.71176217491825
37,39,230.43344768802456
39,37,581.1195275845785
38,65,590.4452899863104
65,38,272.1325374697175
39,48,649.7724410288959
48,39,641.0953666466988
40,49,157.63220210950345
49,40,188.6915602009671
40,65,177.22617176966196
65,40,639.3872813207412
41,42,641.5274813341762
42,41,268.77775161850764
41,48,654.1553899539634
48,41,240.62720289492586
42,43,400.1756295733407
43,42,437.64379857558384
43,44,465.5172831181997
44,43,193.4056076139172
44,47,155.88544522215523
47,44,654.0483576037788
45,46,589.1241526393823
46,45,420.42511240493263
45,47,516.9254711434351
47,45,598.4185635950205
45,69,158.0813037718257
69,45,264.5204445846184
46,70,550.4238159172603
70,46,508.9848842760741
53,55,385.7507307047769
55,53,204.1827553348991
53,62,157.68176584985466
62,53,288.1339937701304
55,56,490.0828506066673
56,55,388.82537718904933
57,61,499.8913303430309
61,57,675.7623123579723
63,64,410.4077550052221
64,63,274.20830676524093
66,68,655.8810621997767
68,66,698.400169557902
66,71,399.7999219433701
71,66,663.7780834814492
67,71,381.83193308954816
71,67,195.3089300064857
68,69,434.63327975019575
69,68,673.1005695300073
44,49,533.5374868027429
49,44,247.97232220913455
