NodeA,NodeB,RepairTime
1,3,410.330019
3,1,388.975851
1,8,354.284747
8,1,383.446086
2,54,308.165196
54,2,272.268831
2,55,395.893796
55,2,326.621196
3,52,389.633506
52,3,343.665858
5,44,340.709552
44,5,290.690365
5,50,275.643597
50,5,342.565658
6,16,245.037864
16,6,339.095458
9,52,404.860722
52,9,408.456547
10,51,403.327041
51,10,324.114229
12,20,416.495437
20,12,337.155284
13,14,327.475021
14,13,299.722532
13,19,267.384905
19,13,248.895685
14,15,340.428270
15,14,367.601334
14,51,287.096558
51,14,343.755855
16,25,333.300873
25,16,309.746358
17,18,360.735981
18,17,336.101112
21,64,278.757458
64,21,418.364783
22,23,344.190562
23,22,240.967354
22,63,272.136263
63,22,270.343509
24,33,371.537717
33,24,392.217919
26,70,259.136515
70,26,273.879435
27,50,409.243487
50,27,337.602691
27,66,309.701505
66,27,255.157951
28,32,393.949548
32,28,251.335270
29,30,252.051572
30,29,301.189369
29,34,300.239143
34,29,271.781626
29,62,302.866769
62,29,316.428291
31,33,259.620644
33,31,274.328844
31,67,356.859031
67,31,418.831708
34,35,373.619152
35,34,296.772136
34,39,376.739497
39,34,291.170001
35,48,332.916058
48,35,279.165763
37,39,338.285758
39,37,341.790136
38,49,313.152227
49,38,271.534651
38,65,305.903226
65,38,253.766465
41,42,417.882842
42,41,310.608034
43,44,358.652111
44,43,321.672939
45,47,311.274279
47,45,264.964773
45,69,311.000904
69,45,240.950452
46,70,412.760013
70,46,302.140844
55,56,406.698933
56,55,330.213663
63,64,355.326200
64,63,325.677231
66,68,359.702768
68,66,409.961466
67,71,271.052908
71,67,356.416708
68,69,248.550881
69,68,254.279827
44,49,405.523144
49,44,360.516030
