link No.,init node,term node,length (meters),free flow time (minute),b,power,volume/capacity
1,1,3,480,0.822857143,3.34,0.41,0.8
1,3,1,480,0.822857143,3.34,0.41,0.8
2,1,8,678,1.162285714,3.34,0.41,0.8
2,8,1,678,1.162285714,3.34,0.41,0.8
3,1,11,666,1.141714286,3.34,0.41,0.8
3,11,1,666,1.141714286,3.34,0.41,0.8
4,1,52,986,1.690285714,3.34,0.41,0.8
4,52,1,986,1.690285714,3.34,0.41,0.8
5,2,54,691,1.184571429,3.34,0.41,1
5,54,2,691,1.184571429,3.34,0.41,1
6,2,55,916,1.570285714,3.34,0.41,0.8
6,55,2,916,1.570285714,3.34,0.41,0.8
7,2,58,210,0.36,3.34,0.41,1.1
7,58,2,210,0.36,3.34,0.41,1.1
8,3,8,307,0.526285714,3.34,0.41,0.8
8,8,3,307,0.526285714,3.34,0.41,0.8
9,3,52,804,1.378285714,3.34,0.41,0.8
10,52,3,804,1.378285714,3.34,0.41,0.8
11,4,6,486,0.833142857,3.34,0.41,0.8
11,6,4,486,0.833142857,3.34,0.41,0.8
12,4,7,316,0.541714286,3.34,0.41,0.8
12,7,4,316,0.541714286,3.34,0.41,0.8
13,5,44,2300,3.942857143,3.34,0.41,0.8
13,44,5,2300,3.942857143,3.34,0.41,0.8
14,5,50,2100,3.6,3.34,0.41,1.2
14,50,5,2100,3.6,3.34,0.41,1.2
15,6,7,530,0.908571429,3.34,0.41,0.8
15,7,6,530,0.908571429,3.34,0.41,0.8
16,6,16,850,1.457142857,3.34,0.41,0.8
16,16,6,850,1.457142857,3.34,0.41,0.8
17,7,8,890,1.525714286,3.34,0.41,0.8
17,8,7,890,1.525714286,3.34,0.41,0.8
18,9,52,423,0.725142857,3.34,0.41,0.8
18,52,9,423,0.725142857,3.34,0.41,0.8
19,9,59,545,0.934285714,3.34,0.41,1.1
19,59,9,545,0.934285714,3.34,0.41,1.1
20,9,61,530,0.908571429,3.34,0.41,0.8
20,61,9,530,0.908571429,3.34,0.41,0.8
21,10,13,925,1.585714286,3.34,0.41,1.1
21,13,10,925,1.585714286,3.34,0.41,1.1
22,10,51,504,0.864,3.34,0.41,0.8
22,51,10,504,0.864,3.34,0.41,0.8
23,10,60,525,0.9,3.34,0.41,0.8
23,60,10,525,0.9,3.34,0.41,0.8
24,10,61,279,0.478285714,3.34,0.41,0.8
24,61,10,279,0.478285714,3.34,0.41,0.8
25,11,15,590,1.011428571,3.34,0.41,0.8
25,15,11,590,1.011428571,3.34,0.41,0.8
26,11,51,1280,2.194285714,3.34,0.41,0.8
26,51,11,1280,2.194285714,3.34,0.41,0.8
27,12,20,1035,1.774285714,3.34,0.41,0.8
27,20,12,1035,1.774285714,3.34,0.41,0.8
28,12,60,439,0.752571429,3.34,0.41,0.8
28,60,12,439,0.752571429,3.34,0.41,0.8
29,12,63,525,0.9,3.34,0.41,0.8
29,63,12,525,0.9,3.34,0.41,0.8
30,13,14,870,1.491428571,3.34,0.41,0.8
30,14,13,870,1.491428571,3.34,0.41,0.8
31,13,19,925,1.585714286,3.34,0.41,0.8
31,19,13,925,1.585714286,3.34,0.41,0.8
32,13,63,386,0.661714286,3.34,0.41,0.8
32,63,13,386,0.661714286,3.34,0.41,0.8
33,14,15,583,0.999428571,3.34,0.41,0.8
33,15,14,583,0.999428571,3.34,0.41,0.8
34,14,18,627,1.074857143,3.34,0.41,1.1
34,18,14,627,1.074857143,3.34,0.41,1.1
35,14,51,600,1.028571429,3.34,0.41,1.1
35,51,14,600,1.028571429,3.34,0.41,1.1
36,15,17,430,0.737142857,3.34,0.41,1.1
36,17,15,430,0.737142857,3.34,0.41,1.1
37,16,17,1130,1.937142857,3.34,0.41,0.8
37,17,16,1130,1.937142857,3.34,0.41,0.8
38,16,25,2200,3.771428571,3.34,0.41,0.8
38,25,16,2200,3.771428571,3.34,0.41,0.8
39,17,18,1000,1.714285714,3.34,0.41,0.8
39,18,17,1000,1.714285714,3.34,0.41,0.8
40,18,19,750,1.285714286,3.34,0.41,0.8
40,19,18,750,1.285714286,3.34,0.41,0.8
41,18,25,875,1.5,3.34,0.41,0.8
41,25,18,875,1.5,3.34,0.41,0.8
42,19,23,250,0.428571429,3.34,0.41,0.8
42,23,19,250,0.428571429,3.34,0.41,0.8
43,20,55,613,1.050857143,3.34,0.41,1.2
43,55,20,613,1.050857143,3.34,0.41,1.2
44,20,62,515,0.882857143,3.34,0.41,1
44,62,20,515,0.882857143,3.34,0.41,1
45,20,64,385,0.66,3.34,0.41,1.3
45,64,20,385,0.66,3.34,0.41,1.3
46,21,22,955,1.637142857,3.34,0.41,1.1
46,22,21,955,1.637142857,3.34,0.41,1.1
47,21,29,480,0.822857143,3.34,0.41,0.8
47,29,21,480,0.822857143,3.34,0.41,0.8
48,21,64,493,0.845142857,3.34,0.41,0.8
48,64,21,493,0.845142857,3.34,0.41,0.8
49,22,23,1015,1.74,3.34,0.41,0.8
