init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type,volume ,volume/capacity
1,2,25900.20064,6,6,0.15,4,0,0,1,4494.657646,0.173537561
1,3,23403.47319,4,4,0.15,4,0,0,1,8119.079948,0.346917737
2,1,25900.20064,6,6,0.15,4,0,0,1,4519.079948,0.1744805
2,6,4958.180928,5,5,0.15,4,0,0,1,5967.336396,1.203533409
3,1,23403.47319,4,4,0.15,4,0,0,1,8094.657646,0.345874203
3,4,17110.52372,4,4,0.15,4,0,0,1,14006.37102,0.818582251
3,12,23403.47319,4,4,0.15,4,0,0,1,10022.31962,0.428240695
4,3,17110.52372,4,4,0.15,4,0,0,1,14030.56092,0.819995995
4,5,17782.7941,2,2,0.15,4,0,0,1,18006.37102,1.012572654
4,11,4908.82673,6,6,0.15,4,0,0,1,5200,1.059316266
5,4,17782.7941,2,2,0.15,4,0,0,1,18030.56092,1.013932952
5,6,4947.995469,4,4,0.15,4,0,0,1,8798.267714,1.778147892
5,9,10000,5,5,0.15,4,0,0,1,15780.78206,1.578078206
6,2,4958.180928,5,5,0.15,4,0,0,1,5991.758698,1.208459067
6,5,4947.995469,4,4,0.15,4,0,0,1,8806.498667,1.779811385
6,8,4898.587646,2,2,0.15,4,0,0,1,12492.92536,2.550311694
7,8,7841.81131,3,3,0.15,4,0,0,1,12101.52912,1.543205854
7,18,23403.47319,2,2,0.15,4,0,0,1,15794.01061,0.674857551
8,6,4898.587646,2,2,0.15,4,0,0,1,12525.57861,2.556977544
8,7,7841.81131,3,3,0.15,4,0,0,1,12040.91827,1.535476664
8,9,5050.193156,10,10,0.15,4,0,0,1,6882.664913,1.362851816
8,16,5045.822583,5,5,0.15,4,0,0,1,8388.713063,1.662506544
9,5,10000,5,5,0.15,4,0,0,1,15796.741,1.5796741
9,8,5050.193156,10,10,0.15,4,0,0,1,6836.705975,1.353751384
9,10,13915.78842,3,3,0.15,4,0,0,1,21744.07608,1.562547189
10,9,13915.78842,3,3,0.15,4,0,0,1,21814.07609,1.567577447
10,11,10000,5,5,0.15,4,0,0,1,17726.62503,1.772662503
10,15,13512.00155,6,6,0.15,4,0,0,1,23125.79729,1.711500491
10,16,4854.917717,4,4,0.15,4,0,0,1,11047.09388,2.275444101
10,17,4993.510694,8,8,0.15,4,0,0,1,8100,1.622105267
11,4,4908.82673,6,6,0.15,4,0,0,1,5300,1.079687732
11,10,10000,5,5,0.15,4,0,0,1,17604.22353,1.760422353
11,12,4908.82673,6,6,0.15,4,0,0,1,8365.285654,1.704131377
11,14,4876.508287,4,4,0.15,4,0,0,1,9776.119533,2.004737603
12,3,23403.47319,4,4,0.15,4,0,0,1,9973.707416,0.426163559
12,11,4908.82673,6,6,0.15,4,0,0,1,8404.934624,1.712208454
12,13,25900.20064,3,3,0.15,4,0,0,1,12287.60527,0.474421239
13,12,25900.20064,3,3,0.15,4,0,0,1,12378.64204,0.477936145
13,24,5091.256152,4,4,0.15,4,0,0,1,11121.35796,2.18440354
14,11,4876.508287,4,4,0.15,4,0,0,1,9814.069063,2.012519714
14,15,5127.526119,5,5,0.15,4,0,0,1,9036.334134,1.762318499
14,23,4924.790605,4,4,0.15,4,0,0,1,8400.43683,1.705744976
15,10,13512.00155,6,6,0.15,4,0,0,1,23192.28336,1.716421011
15,14,5127.526119,5,5,0.15,4,0,0,1,9079.820317,1.770799428
15,19,14564.75315,3,3,0.15,4,0,0,1,19083.28976,1.310237775
15,22,9599.180565,3,3,0.15,4,0,0,1,18409.93503,1.91786527
16,8,5045.822583,5,5,0.15,4,0,0,1,8406.714405,1.666074117
16,10,4854.917717,4,4,0.15,4,0,0,1,11073.00932,2.280782078
16,17,5229.910063,2,2,0.15,4,0,0,1,11695.00292,2.23617668
16,18,19679.89671,3,3,0.15,4,0,0,1,15278.32524,0.776341739
17,10,4993.510694,8,8,0.15,4,0,0,1,8100,1.622105267
17,16,5229.910063,2,2,0.15,4,0,0,1,11683.83828,2.234041913
17,19,4823.950831,2,2,0.15,4,0,0,1,9953.021432,2.063251012
18,7,23403.47319,2,2,0.15,4,0,0,1,15854.62146,0.677447374
18,16,19679.89671,3,3,0.15,4,0,0,1,15333.40666,0.779140607
18,20,23403.47319,4,4,0.15,4,0,0,1,18976.79612,0.810853841
19,15,14564.75315,3,3,0.15,4,0,0,1,19116.72428,1.312533352
19,17,4823.950831,2,2,0.15,4,0,0,1,9941.856798,2.060936595
19,20,5002.607563,4,4,0.15,4,0,0,1,8688.36704,1.736767662
20,18,23403.47319,4,4,0.15,4,0,0,1,18992.48838,0.811524351
20,19,5002.607563,4,4,0.15,4,0,0,1,8710.636921,1.741219316
20,21,5059.91234,6,6,0.15,4,0,0,1,6302.022874,1.245480643
20,22,5075.697193,5,5,0.15,4,0,0,1,7000,1.379120884
21,20,5059.91234,6,6,0.15,4,0,0,1,6239.985018,1.233219985
21,22,5229.910063,2,2,0.15,4,0,0,1,8619.539698,1.648123886
21,24,4885.357564,3,3,0.15,4,0,0,1,10309.4108,2.110267399
22,15,9599.180565,3,3,0.15,4,0,0,1,18386.47276,1.915421075
22,20,5075.697193,5,5,0.15,4,0,0,1,7000,1.379120884
22,21,5229.910063,2,2,0.15,4,0,0,1,8607.38793,1.645800373
22,23,5000,4,4,0.15,4,0,0,1,9661.824231,1.932364846
23,14,4924.790605,4,4,0.15,4,0,0,1,8394.900178,1.704620734
23,22,5000,4,4,0.15,4,0,0,1,9626.2102,1.92524204
23,24,5078.508436,2,2,0.15,4,0,0,1,7902.983927,1.55616241
24,13,5091.256152,4,4,0.15,4,0,0,1,11112.39473,2.182643025
24,21,4885.357564,3,3,0.15,4,0,0,1,10259.52472,2.100056052
24,23,5078.508436,2,2,0.15,4,0,0,1,7861.833244,1.548059503
